Steuerung;Kv Factor;Kugelgewindetrieb Durchmesser X;Kugelgewindetrieb Steigung X;Kugelgewindetrieb Durchmesser Y;Kugelgewindetrieb Steigung Y;Kugelgewindetrieb Durchmesser Z;Kugelgewindetrieb Steigung Z;Motor X;Motor Y;Motor Z;Steifigkeit X;Steifigkeit Y;Steifigkeit Z;Werkstück;Werkzeug;Durchmesser;vc;fz
Siemens;2.2;60;20;60;20;60;20;1FT7034-5AK7;1FT7034-5AK7;1FT7036-5AK7;22.5;23.6;30.2;Einsatzstahl;HSS;40;165;0.08
Siemens;2.2;60;20;60;20;60;20;1FT7034-5AK7;1FT7034-5AK7;1FT7036-5AK7;22.5;23.6;30.2;Einsatzstahl;HSS;50;155;0.1
Siemens;2.2;60;20;60;20;60;20;1FT7034-5AK7;1FT7034-5AK7;1FT7036-5AK7;22.5;23.6;30.2;Einsatzstahl;HSS;63;160;0.11
Siemens;2.2;60;20;60;20;60;20;1FT7034-5AK7;1FT7034-5AK7;1FT7036-5AK7;22.5;23.6;30.2;Einsatzstahl;HSS;80;160;0.12
Siemens;2.2;60;20;60;20;60;20;1FT7034-5AK7;1FT7034-5AK7;1FT7036-5AK7;22.5;23.6;30.2;Einsatzstahl;HSS;100;165;0.13
Siemens;2.2;60;20;60;20;60;20;1FT7034-5AK7;1FT7034-5AK7;1FT7036-5AK7;22.5;23.6;30.2;Einsatzstahl;HSS;125;160;0.13
Siemens;2.2;60;20;60;20;60;20;1FT7034-5AK7;1FT7034-5AK7;1FT7036-5AK7;22.5;23.6;30.2;Grauguss;HSS;40;175;0.08
Siemens;2.2;60;20;60;20;60;20;1FT7034-5AK7;1FT7034-5AK7;1FT7036-5AK7;22.5;23.6;30.2;Grauguss;HSS;50;170;0.1
Siemens;2.2;60;20;60;20;60;20;1FT7034-5AK7;1FT7034-5AK7;1FT7036-5AK7;22.5;23.6;30.2;Grauguss;HSS;63;165;0.12
Siemens;2.2;60;20;60;20;60;20;1FT7034-5AK7;1FT7034-5AK7;1FT7036-5AK7;22.5;23.6;30.2;Grauguss;HSS;80;175;0.13
Siemens;2.2;60;20;60;20;60;20;1FT7034-5AK7;1FT7034-5AK7;1FT7036-5AK7;22.5;23.6;30.2;Grauguss;HSS;100;165;0.12
Siemens;2.2;60;20;60;20;60;20;1FT7034-5AK7;1FT7034-5AK7;1FT7036-5AK7;22.5;23.6;30.2;Grauguss;HSS;125;175;0.14
Siemens;2.2;60;20;60;20;60;20;1FT7034-5AK7;1FT7034-5AK7;1FT7036-5AK7;22.5;23.6;30.2;Aluminium gewalzt;HSS;40;285;0.1
Siemens;2.2;60;20;60;20;60;20;1FT7034-5AK7;1FT7034-5AK7;1FT7036-5AK7;22.5;23.6;30.2;Aluminium gewalzt;HSS;50;280;0.11
Siemens;2.2;60;20;60;20;60;20;1FT7034-5AK7;1FT7034-5AK7;1FT7036-5AK7;22.5;23.6;30.2;Aluminium gewalzt;HSS;63;290;0.12
Siemens;2.2;60;20;60;20;60;20;1FT7034-5AK7;1FT7034-5AK7;1FT7036-5AK7;22.5;23.6;30.2;Aluminium gewalzt;HSS;80;275;0.13
Siemens;2.2;60;20;60;20;60;20;1FT7034-5AK7;1FT7034-5AK7;1FT7036-5AK7;22.5;23.6;30.2;Aluminium gewalzt;HSS;100;280;0.15
Siemens;2.2;60;20;60;20;60;20;1FT7034-5AK7;1FT7034-5AK7;1FT7036-5AK7;22.5;23.6;30.2;Aluminium gewalzt;HSS;125;285;0.16
Siemens;2.2;60;20;60;20;60;20;1FT7034-5AK7;1FT7034-5AK7;1FT7036-5AK7;22.5;23.6;30.2;Rostfreier Stahl;HSS;40;90;0.08
Siemens;2.2;60;20;60;20;60;20;1FT7034-5AK7;1FT7034-5AK7;1FT7036-5AK7;22.5;23.6;30.2;Rostfreier Stahl;HSS;50;95;0.09
Siemens;2.2;60;20;60;20;60;20;1FT7034-5AK7;1FT7034-5AK7;1FT7036-5AK7;22.5;23.6;30.2;Rostfreier Stahl;HSS;63;85;0.1
Siemens;2.2;60;20;60;20;60;20;1FT7034-5AK7;1FT7034-5AK7;1FT7036-5AK7;22.5;23.6;30.2;Rostfreier Stahl;HSS;80;85;0.11
Siemens;2.2;60;20;60;20;60;20;1FT7034-5AK7;1FT7034-5AK7;1FT7036-5AK7;22.5;23.6;30.2;Rostfreier Stahl;HSS;100;90;0.12
Siemens;2.2;60;20;60;20;60;20;1FT7034-5AK7;1FT7034-5AK7;1FT7036-5AK7;22.5;23.6;30.2;Rostfreier Stahl;HSS;125;90;0.13
Siemens;2.2;60;20;60;20;60;20;1FT7034-5AK7;1FT7034-5AK7;1FT7036-5AK7;22.5;23.6;30.2;Temperguss;HSS;40;140;0.08
Siemens;2.2;60;20;60;20;60;20;1FT7034-5AK7;1FT7034-5AK7;1FT7036-5AK7;22.5;23.6;30.2;Temperguss;HSS;50;140;0.09
Siemens;2.2;60;20;60;20;60;20;1FT7034-5AK7;1FT7034-5AK7;1FT7036-5AK7;22.5;23.6;30.2;Temperguss;HSS;63;135;0.11
Siemens;2.2;60;20;60;20;60;20;1FT7034-5AK7;1FT7034-5AK7;1FT7036-5AK7;22.5;23.6;30.2;Temperguss;HSS;80;145;0.11
Siemens;2.2;60;20;60;20;60;20;1FT7034-5AK7;1FT7034-5AK7;1FT7036-5AK7;22.5;23.6;30.2;Temperguss;HSS;100;150;0.12
Siemens;2.2;60;20;60;20;60;20;1FT7034-5AK7;1FT7034-5AK7;1FT7036-5AK7;22.5;23.6;30.2;Temperguss;HSS;125;145;0.14
Siemens;2.2;60;20;60;20;60;20;1FT7034-5AK7;1FT7034-5AK7;1FT7036-5AK7;22.5;23.6;30.2;Superlegierungen;HSS;40;55;0.08
Siemens;2.2;60;20;60;20;60;20;1FT7034-5AK7;1FT7034-5AK7;1FT7036-5AK7;22.5;23.6;30.2;Superlegierungen;HSS;50;50;0.09
Siemens;2.2;60;20;60;20;60;20;1FT7034-5AK7;1FT7034-5AK7;1FT7036-5AK7;22.5;23.6;30.2;Superlegierungen;HSS;63;55;0.12
Siemens;2.2;60;20;60;20;60;20;1FT7034-5AK7;1FT7034-5AK7;1FT7036-5AK7;22.5;23.6;30.2;Superlegierungen;HSS;80;45;0.15
Siemens;2.2;60;20;60;20;60;20;1FT7034-5AK7;1FT7034-5AK7;1FT7036-5AK7;22.5;23.6;30.2;Superlegierungen;HSS;100;50;0.19
Siemens;2.2;60;20;60;20;60;20;1FT7034-5AK7;1FT7034-5AK7;1FT7036-5AK7;22.5;23.6;30.2;Superlegierungen;HSS;125;50;0.19
Siemens;2.2;60;20;60;20;60;20;1FT7034-5AK7;1FT7034-5AK7;1FT7036-5AK7;22.5;23.6;30.2;Kupferlegierungen;HSS;40;310;0.11
Siemens;2.2;60;20;60;20;60;20;1FT7034-5AK7;1FT7034-5AK7;1FT7036-5AK7;22.5;23.6;30.2;Kupferlegierungen;HSS;50;300;0.11
Siemens;2.2;60;20;60;20;60;20;1FT7034-5AK7;1FT7034-5AK7;1FT7036-5AK7;22.5;23.6;30.2;Kupferlegierungen;HSS;63;305;0.13
Siemens;2.2;60;20;60;20;60;20;1FT7034-5AK7;1FT7034-5AK7;1FT7036-5AK7;22.5;23.6;30.2;Kupferlegierungen;HSS;80;305;0.13
Siemens;2.2;60;20;60;20;60;20;1FT7034-5AK7;1FT7034-5AK7;1FT7036-5AK7;22.5;23.6;30.2;Kupferlegierungen;HSS;100;295;0.14
Siemens;2.2;60;20;60;20;60;20;1FT7034-5AK7;1FT7034-5AK7;1FT7036-5AK7;22.5;23.6;30.2;Kupferlegierungen;HSS;125;295;0.16
Siemens;2.2;60;20;60;20;60;20;1FT7034-5AK7;1FT7034-5AK7;1FT7036-5AK7;22.5;23.6;30.2;Automatenstahl;HSS;40;170;0.08
Siemens;2.2;60;20;60;20;60;20;1FT7034-5AK7;1FT7034-5AK7;1FT7036-5AK7;22.5;23.6;30.2;Automatenstahl;HSS;50;172;0.07
Siemens;2.2;60;20;60;20;60;20;1FT7034-5AK7;1FT7034-5AK7;1FT7036-5AK7;22.5;23.6;30.2;Automatenstahl;HSS;63;165;0.09
Siemens;2.2;60;20;60;20;60;20;1FT7034-5AK7;1FT7034-5AK7;1FT7036-5AK7;22.5;23.6;30.2;Automatenstahl;HSS;80;170;0.09
Siemens;2.2;60;20;60;20;60;20;1FT7034-5AK7;1FT7034-5AK7;1FT7036-5AK7;22.5;23.6;30.2;Automatenstahl;HSS;100;177;0.12
Siemens;2.2;60;20;60;20;60;20;1FT7034-5AK7;1FT7034-5AK7;1FT7036-5AK7;22.5;23.6;30.2;Automatenstahl;HSS;125;169;0.14
Siemens;2.2;60;20;60;20;60;20;1FT7034-5AK7;1FT7034-5AK7;1FT7036-5AK7;22.5;23.6;30.2;Aluminium gegossen;HSS;40;240;0.1
Siemens;2.2;60;20;60;20;60;20;1FT7034-5AK7;1FT7034-5AK7;1FT7036-5AK7;22.5;23.6;30.2;Aluminium gegossen;HSS;50;243;0.11
Siemens;2.2;60;20;60;20;60;20;1FT7034-5AK7;1FT7034-5AK7;1FT7036-5AK7;22.5;23.6;30.2;Aluminium gegossen;HSS;63;235;0.12
Siemens;2.2;60;20;60;20;60;20;1FT7034-5AK7;1FT7034-5AK7;1FT7036-5AK7;22.5;23.6;30.2;Aluminium gegossen;HSS;80;235;0.13
Siemens;2.2;60;20;60;20;60;20;1FT7034-5AK7;1FT7034-5AK7;1FT7036-5AK7;22.5;23.6;30.2;Aluminium gegossen;HSS;100;240;0.15
Siemens;2.2;60;20;60;20;60;20;1FT7034-5AK7;1FT7034-5AK7;1FT7036-5AK7;22.5;23.6;30.2;Aluminium gegossen;HSS;125;233;0.16
Siemens;2.2;60;20;60;20;60;20;1FT7034-5AK7;1FT7034-5AK7;1FT7036-5AK7;22.5;23.6;30.2;Werkzeugstahl;HSS;40;133;0.07
Siemens;2.2;60;20;60;20;60;20;1FT7034-5AK7;1FT7034-5AK7;1FT7036-5AK7;22.5;23.6;30.2;Werkzeugstahl;HSS;50;125;0.07
Siemens;2.2;60;20;60;20;60;20;1FT7034-5AK7;1FT7034-5AK7;1FT7036-5AK7;22.5;23.6;30.2;Werkzeugstahl;HSS;63;127;0.11
Siemens;2.2;60;20;60;20;60;20;1FT7034-5AK7;1FT7034-5AK7;1FT7036-5AK7;22.5;23.6;30.2;Werkzeugstahl;HSS;80;130;0.11
Siemens;2.2;60;20;60;20;60;20;1FT7034-5AK7;1FT7034-5AK7;1FT7036-5AK7;22.5;23.6;30.2;Werkzeugstahl;HSS;100;122;0.12
Siemens;2.2;60;20;60;20;60;20;1FT7034-5AK7;1FT7034-5AK7;1FT7036-5AK7;22.5;23.6;30.2;Werkzeugstahl;HSS;125;130;0.13
Siemens;2.7;70;15;70;15;70;15;1FT7042-5AK7;1FT7042-5AK7;1FT7036-5AK7;37.12;25.6;39.99;Einsatzstahl;HSS;40;160;0.09
Siemens;2.7;70;15;70;15;70;15;1FT7042-5AK7;1FT7042-5AK7;1FT7036-5AK7;37.12;25.6;39.99;Einsatzstahl;HSS;50;155;0.1
Siemens;2.7;70;15;70;15;70;15;1FT7042-5AK7;1FT7042-5AK7;1FT7036-5AK7;37.12;25.6;39.99;Einsatzstahl;HSS;63;165;0.12
Siemens;2.7;70;15;70;15;70;15;1FT7042-5AK7;1FT7042-5AK7;1FT7036-5AK7;37.12;25.6;39.99;Einsatzstahl;HSS;80;162;0.12
Siemens;2.7;70;15;70;15;70;15;1FT7042-5AK7;1FT7042-5AK7;1FT7036-5AK7;37.12;25.6;39.99;Einsatzstahl;HSS;100;153;0.13
Siemens;2.7;70;15;70;15;70;15;1FT7042-5AK7;1FT7042-5AK7;1FT7036-5AK7;37.12;25.6;39.99;Einsatzstahl;HSS;125;155;0.13
Siemens;2.7;70;15;70;15;70;15;1FT7042-5AK7;1FT7042-5AK7;1FT7036-5AK7;37.12;25.6;39.99;Grauguss;HSS;40;174;0.08
Siemens;2.7;70;15;70;15;70;15;1FT7042-5AK7;1FT7042-5AK7;1FT7036-5AK7;37.12;25.6;39.99;Grauguss;HSS;50;168;0.1
Siemens;2.7;70;15;70;15;70;15;1FT7042-5AK7;1FT7042-5AK7;1FT7036-5AK7;37.12;25.6;39.99;Grauguss;HSS;63;170;0.12
Siemens;2.7;70;15;70;15;70;15;1FT7042-5AK7;1FT7042-5AK7;1FT7036-5AK7;37.12;25.6;39.99;Grauguss;HSS;80;174;0.11
Siemens;2.7;70;15;70;15;70;15;1FT7042-5AK7;1FT7042-5AK7;1FT7036-5AK7;37.12;25.6;39.99;Grauguss;HSS;100;169;0.13
Siemens;2.7;70;15;70;15;70;15;1FT7042-5AK7;1FT7042-5AK7;1FT7036-5AK7;37.12;25.6;39.99;Grauguss;HSS;125;160;0.14
Siemens;2.7;70;15;70;15;70;15;1FT7042-5AK7;1FT7042-5AK7;1FT7036-5AK7;37.12;25.6;39.99;Aluminium gewalzt;HSS;40;282;0.1
Siemens;2.7;70;15;70;15;70;15;1FT7042-5AK7;1FT7042-5AK7;1FT7036-5AK7;37.12;25.6;39.99;Aluminium gewalzt;HSS;50;281;0.11
Siemens;2.7;70;15;70;15;70;15;1FT7042-5AK7;1FT7042-5AK7;1FT7036-5AK7;37.12;25.6;39.99;Aluminium gewalzt;HSS;63;275;0.13
Siemens;2.7;70;15;70;15;70;15;1FT7042-5AK7;1FT7042-5AK7;1FT7036-5AK7;37.12;25.6;39.99;Aluminium gewalzt;HSS;80;282;0.14
Siemens;2.7;70;15;70;15;70;15;1FT7042-5AK7;1FT7042-5AK7;1FT7036-5AK7;37.12;25.6;39.99;Aluminium gewalzt;HSS;100;290;0.15
Siemens;2.7;70;15;70;15;70;15;1FT7042-5AK7;1FT7042-5AK7;1FT7036-5AK7;37.12;25.6;39.99;Aluminium gewalzt;HSS;125;271;0.16
Siemens;2.7;70;15;70;15;70;15;1FT7042-5AK7;1FT7042-5AK7;1FT7036-5AK7;37.12;25.6;39.99;Rostfreier Stahl;HSS;40;90;0.07
Siemens;2.7;70;15;70;15;70;15;1FT7042-5AK7;1FT7042-5AK7;1FT7036-5AK7;37.12;25.6;39.99;Rostfreier Stahl;HSS;50;94;0.09
Siemens;2.7;70;15;70;15;70;15;1FT7042-5AK7;1FT7042-5AK7;1FT7036-5AK7;37.12;25.6;39.99;Rostfreier Stahl;HSS;63;99;0.1
Siemens;2.7;70;15;70;15;70;15;1FT7042-5AK7;1FT7042-5AK7;1FT7036-5AK7;37.12;25.6;39.99;Rostfreier Stahl;HSS;80;83;0.12
Siemens;2.7;70;15;70;15;70;15;1FT7042-5AK7;1FT7042-5AK7;1FT7036-5AK7;37.12;25.6;39.99;Rostfreier Stahl;HSS;100;90;0.12
Siemens;2.7;70;15;70;15;70;15;1FT7042-5AK7;1FT7042-5AK7;1FT7036-5AK7;37.12;25.6;39.99;Rostfreier Stahl;HSS;125;87;0.13
Siemens;2.7;70;15;70;15;70;15;1FT7042-5AK7;1FT7042-5AK7;1FT7036-5AK7;37.12;25.6;39.99;Temperguss;HSS;40;140;0.08
Siemens;2.7;70;15;70;15;70;15;1FT7042-5AK7;1FT7042-5AK7;1FT7036-5AK7;37.12;25.6;39.99;Temperguss;HSS;50;144;0.08
Siemens;2.7;70;15;70;15;70;15;1FT7042-5AK7;1FT7042-5AK7;1FT7036-5AK7;37.12;25.6;39.99;Temperguss;HSS;63;135;0.11
Siemens;2.7;70;15;70;15;70;15;1FT7042-5AK7;1FT7042-5AK7;1FT7036-5AK7;37.12;25.6;39.99;Temperguss;HSS;80;137;0.12
Siemens;2.7;70;15;70;15;70;15;1FT7042-5AK7;1FT7042-5AK7;1FT7036-5AK7;37.12;25.6;39.99;Temperguss;HSS;100;147;0.12
Siemens;2.7;70;15;70;15;70;15;1FT7042-5AK7;1FT7042-5AK7;1FT7036-5AK7;37.12;25.6;39.99;Temperguss;HSS;125;140;0.14
Siemens;2.7;70;15;70;15;70;15;1FT7042-5AK7;1FT7042-5AK7;1FT7036-5AK7;37.12;25.6;39.99;Superlegierungen;HSS;40;55;0.08
Siemens;2.7;70;15;70;15;70;15;1FT7042-5AK7;1FT7042-5AK7;1FT7036-5AK7;37.12;25.6;39.99;Superlegierungen;HSS;50;50;0.09
Siemens;2.7;70;15;70;15;70;15;1FT7042-5AK7;1FT7042-5AK7;1FT7036-5AK7;37.12;25.6;39.99;Superlegierungen;HSS;63;55;0.12
Siemens;2.7;70;15;70;15;70;15;1FT7042-5AK7;1FT7042-5AK7;1FT7036-5AK7;37.12;25.6;39.99;Superlegierungen;HSS;80;45;0.14
Siemens;2.7;70;15;70;15;70;15;1FT7042-5AK7;1FT7042-5AK7;1FT7036-5AK7;37.12;25.6;39.99;Superlegierungen;HSS;100;50;0.2
Siemens;2.7;70;15;70;15;70;15;1FT7042-5AK7;1FT7042-5AK7;1FT7036-5AK7;37.12;25.6;39.99;Superlegierungen;HSS;125;50;0.19
Siemens;2.7;70;15;70;15;70;15;1FT7042-5AK7;1FT7042-5AK7;1FT7036-5AK7;37.12;25.6;39.99;Kupferlegierungen;HSS;40;310;0.12
Siemens;2.7;70;15;70;15;70;15;1FT7042-5AK7;1FT7042-5AK7;1FT7036-5AK7;37.12;25.6;39.99;Kupferlegierungen;HSS;50;305;0.11
Siemens;2.7;70;15;70;15;70;15;1FT7042-5AK7;1FT7042-5AK7;1FT7036-5AK7;37.12;25.6;39.99;Kupferlegierungen;HSS;63;306;0.13
Siemens;2.7;70;15;70;15;70;15;1FT7042-5AK7;1FT7042-5AK7;1FT7036-5AK7;37.12;25.6;39.99;Kupferlegierungen;HSS;80;300;0.14
Siemens;2.7;70;15;70;15;70;15;1FT7042-5AK7;1FT7042-5AK7;1FT7036-5AK7;37.12;25.6;39.99;Kupferlegierungen;HSS;100;300;0.14
Siemens;2.7;70;15;70;15;70;15;1FT7042-5AK7;1FT7042-5AK7;1FT7036-5AK7;37.12;25.6;39.99;Kupferlegierungen;HSS;125;295;0.16
Siemens;2.7;70;15;70;15;70;15;1FT7042-5AK7;1FT7042-5AK7;1FT7036-5AK7;37.12;25.6;39.99;Automatenstahl;HSS;40;170;0.08
Siemens;2.7;70;15;70;15;70;15;1FT7042-5AK7;1FT7042-5AK7;1FT7036-5AK7;37.12;25.6;39.99;Automatenstahl;HSS;50;177;0.07
Siemens;2.7;70;15;70;15;70;15;1FT7042-5AK7;1FT7042-5AK7;1FT7036-5AK7;37.12;25.6;39.99;Automatenstahl;HSS;63;164;0.08
Siemens;2.7;70;15;70;15;70;15;1FT7042-5AK7;1FT7042-5AK7;1FT7036-5AK7;37.12;25.6;39.99;Automatenstahl;HSS;80;179;0.1
Siemens;2.7;70;15;70;15;70;15;1FT7042-5AK7;1FT7042-5AK7;1FT7036-5AK7;37.12;25.6;39.99;Automatenstahl;HSS;100;177;0.12
Siemens;2.7;70;15;70;15;70;15;1FT7042-5AK7;1FT7042-5AK7;1FT7036-5AK7;37.12;25.6;39.99;Automatenstahl;HSS;125;169;0.14
Siemens;2.7;70;15;70;15;70;15;1FT7042-5AK7;1FT7042-5AK7;1FT7036-5AK7;37.12;25.6;39.99;Aluminium gegossen;HSS;40;240;0.1
Siemens;2.7;70;15;70;15;70;15;1FT7042-5AK7;1FT7042-5AK7;1FT7036-5AK7;37.12;25.6;39.99;Aluminium gegossen;HSS;50;244;0.11
Siemens;2.7;70;15;70;15;70;15;1FT7042-5AK7;1FT7042-5AK7;1FT7036-5AK7;37.12;25.6;39.99;Aluminium gegossen;HSS;63;235;0.13
Siemens;2.7;70;15;70;15;70;15;1FT7042-5AK7;1FT7042-5AK7;1FT7036-5AK7;37.12;25.6;39.99;Aluminium gegossen;HSS;80;238;0.13
Siemens;2.7;70;15;70;15;70;15;1FT7042-5AK7;1FT7042-5AK7;1FT7036-5AK7;37.12;25.6;39.99;Aluminium gegossen;HSS;100;240;0.14
Siemens;2.7;70;15;70;15;70;15;1FT7042-5AK7;1FT7042-5AK7;1FT7036-5AK7;37.12;25.6;39.99;Aluminium gegossen;HSS;125;247;0.16
Siemens;2.7;70;15;70;15;70;15;1FT7042-5AK7;1FT7042-5AK7;1FT7036-5AK7;37.12;25.6;39.99;Werkzeugstahl;HSS;40;133;0.07
Siemens;2.7;70;15;70;15;70;15;1FT7042-5AK7;1FT7042-5AK7;1FT7036-5AK7;37.12;25.6;39.99;Werkzeugstahl;HSS;50;125;0.08
Siemens;2.7;70;15;70;15;70;15;1FT7042-5AK7;1FT7042-5AK7;1FT7036-5AK7;37.12;25.6;39.99;Werkzeugstahl;HSS;63;128;0.11
Siemens;2.7;70;15;70;15;70;15;1FT7042-5AK7;1FT7042-5AK7;1FT7036-5AK7;37.12;25.6;39.99;Werkzeugstahl;HSS;80;130;0.13
Siemens;2.7;70;15;70;15;70;15;1FT7042-5AK7;1FT7042-5AK7;1FT7036-5AK7;37.12;25.6;39.99;Werkzeugstahl;HSS;100;130;0.12
Siemens;2.7;70;15;70;15;70;15;1FT7042-5AK7;1FT7042-5AK7;1FT7036-5AK7;37.12;25.6;39.99;Werkzeugstahl;HSS;125;130;0.13
Siemens;2.4;60;15;60;15;60;15;1FT7034-5AK7;1FT7036-5AK7;1FT7042-5AK7;28.08;30.41;29.72;Einsatzstahl;HSS;40;166;0.09
Siemens;2.4;60;15;60;15;60;15;1FT7034-5AK7;1FT7036-5AK7;1FT7042-5AK7;28.08;30.41;29.72;Einsatzstahl;HSS;50;155;0.1
Siemens;2.4;60;15;60;15;60;15;1FT7034-5AK7;1FT7036-5AK7;1FT7042-5AK7;28.08;30.41;29.72;Einsatzstahl;HSS;63;160;0.13
Siemens;2.4;60;15;60;15;60;15;1FT7034-5AK7;1FT7036-5AK7;1FT7042-5AK7;28.08;30.41;29.72;Einsatzstahl;HSS;80;162;0.12
Siemens;2.4;60;15;60;15;60;15;1FT7034-5AK7;1FT7036-5AK7;1FT7042-5AK7;28.08;30.41;29.72;Einsatzstahl;HSS;100;155;0.12
Siemens;2.4;60;15;60;15;60;15;1FT7034-5AK7;1FT7036-5AK7;1FT7042-5AK7;28.08;30.41;29.72;Einsatzstahl;HSS;125;157;0.13
Siemens;2.4;60;15;60;15;60;15;1FT7034-5AK7;1FT7036-5AK7;1FT7042-5AK7;28.08;30.41;29.72;Grauguss;HSS;40;170;0.08
Siemens;2.4;60;15;60;15;60;15;1FT7034-5AK7;1FT7036-5AK7;1FT7042-5AK7;28.08;30.41;29.72;Grauguss;HSS;50;168;0.09
Siemens;2.4;60;15;60;15;60;15;1FT7034-5AK7;1FT7036-5AK7;1FT7042-5AK7;28.08;30.41;29.72;Grauguss;HSS;63;172;0.11
Siemens;2.4;60;15;60;15;60;15;1FT7034-5AK7;1FT7036-5AK7;1FT7042-5AK7;28.08;30.41;29.72;Grauguss;HSS;80;175;0.11
Siemens;2.4;60;15;60;15;60;15;1FT7034-5AK7;1FT7036-5AK7;1FT7042-5AK7;28.08;30.41;29.72;Grauguss;HSS;100;169;0.12
Siemens;2.4;60;15;60;15;60;15;1FT7034-5AK7;1FT7036-5AK7;1FT7042-5AK7;28.08;30.41;29.72;Grauguss;HSS;125;162;0.14
Siemens;2.4;60;15;60;15;60;15;1FT7034-5AK7;1FT7036-5AK7;1FT7042-5AK7;28.08;30.41;29.72;Aluminium gewalzt;HSS;40;280;0.1
Siemens;2.4;60;15;60;15;60;15;1FT7034-5AK7;1FT7036-5AK7;1FT7042-5AK7;28.08;30.41;29.72;Aluminium gewalzt;HSS;50;280;0.1
Siemens;2.4;60;15;60;15;60;15;1FT7034-5AK7;1FT7036-5AK7;1FT7042-5AK7;28.08;30.41;29.72;Aluminium gewalzt;HSS;63;273;0.13
Siemens;2.4;60;15;60;15;60;15;1FT7034-5AK7;1FT7036-5AK7;1FT7042-5AK7;28.08;30.41;29.72;Aluminium gewalzt;HSS;80;282;0.13
Siemens;2.4;60;15;60;15;60;15;1FT7034-5AK7;1FT7036-5AK7;1FT7042-5AK7;28.08;30.41;29.72;Aluminium gewalzt;HSS;100;277;0.15
Siemens;2.4;60;15;60;15;60;15;1FT7034-5AK7;1FT7036-5AK7;1FT7042-5AK7;28.08;30.41;29.72;Aluminium gewalzt;HSS;125;271;0.15
Siemens;2.4;60;15;60;15;60;15;1FT7034-5AK7;1FT7036-5AK7;1FT7042-5AK7;28.08;30.41;29.72;Rostfreier Stahl;HSS;40;90;0.07
Siemens;2.4;60;15;60;15;60;15;1FT7034-5AK7;1FT7036-5AK7;1FT7042-5AK7;28.08;30.41;29.72;Rostfreier Stahl;HSS;50;95;0.09
Siemens;2.4;60;15;60;15;60;15;1FT7034-5AK7;1FT7036-5AK7;1FT7042-5AK7;28.08;30.41;29.72;Rostfreier Stahl;HSS;63;90;0.11
Siemens;2.4;60;15;60;15;60;15;1FT7034-5AK7;1FT7036-5AK7;1FT7042-5AK7;28.08;30.41;29.72;Rostfreier Stahl;HSS;80;88;0.12
Siemens;2.4;60;15;60;15;60;15;1FT7034-5AK7;1FT7036-5AK7;1FT7042-5AK7;28.08;30.41;29.72;Rostfreier Stahl;HSS;100;90;0.13
Siemens;2.4;60;15;60;15;60;15;1FT7034-5AK7;1FT7036-5AK7;1FT7042-5AK7;28.08;30.41;29.72;Rostfreier Stahl;HSS;125;80;0.13
Siemens;2.4;60;15;60;15;60;15;1FT7034-5AK7;1FT7036-5AK7;1FT7042-5AK7;28.08;30.41;29.72;Temperguss;HSS;40;140;0.08
Siemens;2.4;60;15;60;15;60;15;1FT7034-5AK7;1FT7036-5AK7;1FT7042-5AK7;28.08;30.41;29.72;Temperguss;HSS;50;143;0.08
Siemens;2.4;60;15;60;15;60;15;1FT7034-5AK7;1FT7036-5AK7;1FT7042-5AK7;28.08;30.41;29.72;Temperguss;HSS;63;137;0.11
Siemens;2.4;60;15;60;15;60;15;1FT7034-5AK7;1FT7036-5AK7;1FT7042-5AK7;28.08;30.41;29.72;Temperguss;HSS;80;137;0.13
